,coef,se,t,p,ci_low,ci_high
const,0.19175817680521445,0.03989436460781501,4.806648224387323,1.5348170117099507e-06,0.11356665898778764,0.2699496946226413
FEMALE,-0.07162181531118313,0.01147406638964754,-6.242060388965834,4.3184415015358284e-10,-0.09411057219111382,-0.04913305843125242
RACE_BLACK,0.07008155291412864,0.017398189630102603,4.028094554899695,5.6230729845432254e-05,0.035981727842929294,0.10418137798532798
RACE_HISPANIC,0.005811722925053699,0.016396239821592738,0.3544546181497085,0.7229982085634763,-0.02632431660714951,0.03794776245725691
RACE_MIXED,0.03462890153220796,0.06398123833467928,0.5412352501067225,0.5883454437531683,-0.09077202129003689,0.16002982435445282
BIOMOMAGE,-0.002139044626661547,0.0011747830375263143,-1.8207997207430175,0.06863730678070736,-0.00444157706986169,0.00016348781653859577
NUMSIBS,-0.01003342959244682,0.004786965917939111,-2.0959893520124377,0.0360831355224832,-0.019415710386828197,-0.0006511487980654443
FAM_ONE_PARENT,0.021773352277210004,0.01411236580904546,1.5428562844689129,0.12286564954647376,-0.00588637644517356,0.049433080999593565
FAM_BIO_STEP,0.0038595324390344465,0.017354640346224325,0.22239195754201418,0.824008772028476,-0.030154937604210966,0.03787400248227986
FAM_OTHER,0.12567608973937544,0.09417238853035971,1.334532251975954,0.18202948423826626,-0.05889840011824246,0.3102505795969933
PAR_ED_HS,-0.044976896121421056,0.020287481739700432,-2.216977774693745,0.02662461033072201,-0.08473962966824791,-0.005214162574594207
PAR_ED_SOME_COL,-0.03241198255299638,0.020872399729788108,-1.5528632535117426,0.12045580728457721,-0.07332113429430462,0.008497169188311872
PAR_ED_COL,-0.041059223880822546,0.022567707484333642,-1.8193794788117312,0.068853555295191,-0.0852911177637515,0.0031726700021064216
POVRATIO97,-0.0014724249460361738,0.002151068080672975,-0.6845087606783308,0.49365395925686295,-0.005688440912448905,0.0027435910203765573
ASVAB_SCORE,-0.0001315574500174513,0.00023009090972561872,-0.5717629182931753,0.5674826023555848,-0.0005825273462497208,0.00031941244621481817
EARLY_DESTROY,0.03609463193229946,0.010940682183577655,3.29912077936774,0.0009698817191983299,0.014651288886188222,0.057537974978410705
EARLY_STEAL_UNDER,-0.004579744765940793,0.010943708164012144,-0.4184819895875022,0.6755947519381478,-0.026029018624721553,0.016869529092839966
EARLY_STEAL_OVER,-0.009723956309334814,0.021103699537124106,-0.46077022145947116,0.6449634684741741,-0.05108644734265267,0.03163853472398304
EARLY_OTHER_PROP,0.04269690017626887,0.021867062515722423,1.9525667951774406,0.05087094893406077,-0.00016175480223290517,0.08555555515477065
EARLY_GANG,0.037704010075123515,0.009224415601151646,4.087414499235731,4.362073573677452e-05,0.019624487718436896,0.05578353243181013
EARLY_GUN,0.046995640593063395,0.016348443996273648,2.8746246801087163,0.004045080255505412,0.014953279157096974,0.07903800202902982
EARLY_RUNAWAY,0.05922915619741781,0.017431909060418898,3.397743528384062,0.0006794408481782134,0.025063242257219315,0.0933950701376163
EARLY_SMOKING,0.0034253634109072755,0.005933460321615904,0.5772960844498275,0.5637394583092317,-0.008204005123157342,0.015054731944971894
EARLY_ALCOHOL,-0.0015649095051693766,0.00563443244322723,-0.27774039726937333,0.781211647591866,-0.01260819416721877,0.009478375156880017
EARLY_MARIJUANA,0.02241183794514315,0.010256141976583316,2.185211358843662,0.028873353059282944,0.002310169050710409,0.042513506839575894
EARLY_HARD_DRUGS,-0.00929607774862028,0.018504824889379448,-0.5023596712852775,0.6154145418813536,-0.045564868072024395,0.02697271257478383
EVER_ARR_BY17,0.07384121729849759,0.023265979352390772,3.1737850438223565,0.0015046507839295872,0.028240735702759145,0.11944169889423603
