,M1_coef,M1_se,M1_p,M2_coef,M2_se,M2_p,M3_coef,M3_se,M3_p,M4_coef,M4_se,M4_p,M5_coef,M5_se,M5_p,M6_coef,M6_se,M6_p
const,0.2944405609018862,0.033184273014939064,7.126870066059516e-19,0.2987326924259578,0.040306314262736606,1.2482169699215934e-13,0.31279251344267467,0.04064441072229198,1.4057758394666466e-14,0.20797042047528608,0.039486082246677455,1.3872427715932009e-07,0.19175817680521445,0.03989436460781501,1.5348170117099507e-06,0.18065969150857802,0.040417312541652914,7.82711494975425e-06
FEMALE,-0.10496341946715233,0.011236052230362847,9.483224238132483e-21,-0.10527184853990226,0.011207838009513667,5.848209582257679e-21,-0.10354102765551695,0.011226185834026995,2.8844226604329925e-20,-0.07544333098655226,0.011269608099906089,2.1654957319270597e-11,-0.07162181531118313,0.01147406638964754,4.3184415015358284e-10,-0.05182079495625615,0.01357555178702293,0.00013496675127903297
RACE_BLACK,0.08395228980158048,0.015617516858304337,7.636155181230248e-08,0.06141272626770095,0.01662962316468256,0.00022164877378422662,0.05226458423490479,0.01753083408858118,0.0028703235017809034,0.06511195383652703,0.01718048944958676,0.0001507214743903002,0.07008155291412864,0.017398189630102603,5.6230729845432254e-05,0.09808386528246883,0.02591437272766013,0.00015375713338561993
RACE_HISPANIC,0.031273491215808316,0.015223634403297081,0.03994933935500218,0.008777567470475554,0.01648150499828494,0.594330754681677,0.0038581585022653686,0.01678563725672339,0.8182092664334806,0.004467908134149615,0.016318877941369644,0.7842477729844909,0.005811722925053699,0.016396239821592738,0.7229982085634763,0.0266694357441269,0.024968760161601353,0.28546993224947526
RACE_MIXED,0.04614563321341721,0.06660129027609031,0.48839493359542874,0.04337576430469113,0.0671448375350761,0.5182774335514565,0.046008718599260444,0.06606325300301194,0.4861568580881669,0.03920411317927196,0.06584625329413064,0.5515836971504724,0.03462890153220796,0.06398123833467928,0.5883454437531683,0.033524545643385625,0.06383007002813819,0.5994333529280743
BIOMOMAGE,-0.00428401172269976,0.0011143974166649855,0.00012092635193973383,-0.0028316713646542296,0.0012101557435049717,0.01928771144201224,-0.002713080853814537,0.0012145738741445782,0.025498092767068423,-0.0020750112774454745,0.0011780447660034356,0.07817026179300895,-0.002139044626661547,0.0011747830375263143,0.06863730678070736,-0.0020952651620788553,0.0011743538844160085,0.0743935290985563
NUMSIBS,-0.009005515477646877,0.0047542274949880165,0.05819685624384539,-0.010244642020378388,0.0048927545887948055,0.03627429474804443,-0.010502021508721912,0.004886898505439272,0.03163315710638612,-0.011038628250179369,0.004790517807529881,0.02120770525168946,-0.01003342959244682,0.004786965917939111,0.0360831355224832,-0.009996546660392,0.004772749450121952,0.036215035407592834
FAM_ONE_PARENT,,,,0.04643618018763766,0.01444175345051085,0.0013025765012644138,0.04562884119861123,0.014406137724130042,0.0015385117561228115,0.028105710203923304,0.014069427020626189,0.04575524063242403,0.021773352277210004,0.01411236580904546,0.12286564954647376,0.02117579647661762,0.014119973765389674,0.13369081242170403
FAM_BIO_STEP,,,,0.02450081023892556,0.017967973173767183,0.17269906503212018,0.02170636861040845,0.017983298139294415,0.22742084222234005,0.010211938742372764,0.01757723450424991,0.5612571139922913,0.0038595324390344465,0.017354640346224325,0.824008772028476,0.004396466662478572,0.01736721412371779,0.8001542420431348
FAM_OTHER,,,,0.11481443942635657,0.09148936178482855,0.20949744769090173,0.10913928931185526,0.0917027730492022,0.23399072382885644,0.12832488729586417,0.09188156896510201,0.16252377809492435,0.12567608973937544,0.09417238853035971,0.18202948423826626,0.1232060362246997,0.09277021567124895,0.18415250518211823
PAR_ED_HS,,,,-0.05133124894236704,0.021043991427830363,0.014718376862267518,-0.04700321897494464,0.02118379858639664,0.026498384879726295,-0.046432894727313476,0.020248187578034222,0.021837200906216096,-0.044976896121421056,0.020287481739700432,0.02662461033072201,-0.04426300115544646,0.020285481093123243,0.029109236541197497
PAR_ED_SOME_COL,,,,-0.03709847883787935,0.02141953037334947,0.08327479076114248,-0.029137467834197253,0.021871204561538675,0.18278472670447876,-0.0343454064259066,0.020869022426134982,0.09981314034461544,-0.03241198255299638,0.020872399729788108,0.12045580728457721,-0.03239616646113465,0.020857711652754265,0.120375719488419
PAR_ED_COL,,,,-0.055353372459210584,0.022502102419844922,0.013896797725503977,-0.042664916491575985,0.023566820148682912,0.07023676927287562,-0.045553190580421496,0.022616621032828427,0.0439941431771925,-0.041059223880822546,0.022567707484333642,0.068853555295191,-0.041126875178031055,0.022526769589166717,0.06789712283131313
