EVER_ASSAULT,FEMALE,RACE_BLACK,RACE_HISPANIC,RACE_MIXED,BIOMOMAGE,NUMSIBS,FAM_ONE_PARENT,FAM_BIO_STEP,FAM_OTHER,PAR_ED_HS,PAR_ED_SOME_COL,PAR_ED_COL,POVRATIO97,ASVAB_SCORE,EARLY_DESTROY,EARLY_STEAL_UNDER,EARLY_STEAL_OVER,EARLY_OTHER_PROP,EARLY_GANG,EARLY_GUN,EARLY_RUNAWAY,EARLY_SMOKING,EARLY_ALCOHOL,EARLY_MARIJUANA,EARLY_HARD_DRUGS,EVER_ARR_BY17
0,1,0,1,0,26.0,0,1,0,0,1.0,0.0,0.0,5.829999923706055,27.97800064086914,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1,0,1,0,33.0,0,1,0,0,1.0,0.0,0.0,1.0800000429153442,37.012001037597656,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,0,1,0,22.0,1,1,0,0,0.0,1.0,0.0,1.9800000190734863,30.58300018310547,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0
0,0,0,1,0,34.0,0,1,0,0,0.0,0.0,0.0,1.2000000476837158,44.45100021362305,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,1,0,0,23.0,4,1,0,0,0.0,1.0,0.0,0.0,9.33899974822998,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0
1,0,1,0,0,26.0,4,1,0,0,0.0,1.0,0.0,0.0,8.333999633789062,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,1,0,28.0,2,1,0,0,0.0,1.0,0.0,0.0,3.505000114440918,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0,1,1,0,0,18.0,1,0,1,0,0.0,0.0,1.0,0.8199999928474426,17.058000564575195,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,0,32.0,1,0,0,0,0.0,0.0,1.0,0.6000000238418579,35.106998443603516,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0
0,1,0,0,0,19.0,1,0,0,0,0.0,0.0,0.0,2.990000009536743,68.75299835205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0,0,19.0,2,1,0,0,1.0,0.0,0.0,0.20000000298023224,29.823999404907227,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0,41.0,1,0,0,0,0.0,0.0,1.0,6.960000038146973,96.7030029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
1,0,1,0,0,37.0,1,0,0,0,1.0,0.0,0.0,1.600000023841858,15.234999656677246,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0,0,0,0,17.0,2,0,1,0,0.0,1.0,0.0,3.0199999809265137,1.3550000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,1,0,0,28.0,1,0,0,0,0.0,1.0,0.0,9.430000305175781,52.92100143432617,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
0,0,1,0,0,20.0,2,1,0,0,1.0,0.0,0.0,1.8799999952316284,11.013999938964844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
1,1,1,0,0,32.0,2,1,0,0,1.0,0.0,0.0,0.28999999165534973,2.390000104904175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,20.0,2,1,0,0,1.0,0.0,0.0,0.75,70.11299896240234,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
1,0,0,1,0,26.0,1,0,0,0,0.0,1.0,0.0,2.6700000762939453,75.57499694824219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,27.0,1,0,0,0,1.0,0.0,0.0,2.359999895095825,4.355000019073486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,22.0,1,0,0,0,1.0,0.0,0.0,1.8200000524520874,5.35099983215332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0,30.0,0,1,0,0,0.0,0.0,0.0,2.4000000953674316,10.086000442504883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,0,1,0,25.0,2,0,0,0,1.0,0.0,0.0,4.269999980926514,35.316001892089844,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
