,coef,se,t,p,ci_low,ci_high
const,0.26847283378095904,0.04674571087703779,5.743261333369453,9.287022818119791e-09,0.17685292403024272,0.36009274353167536
FEMALE,-0.08483744386525975,0.013635577955395547,-6.221771027438547,4.91574088101891e-10,-0.11156268556622333,-0.058112202164296176
RACE_BLACK,0.10579375828384441,0.02005331044088381,5.275625617811049,1.323039454510935e-07,0.06648999204891111,0.14509752451877772
RACE_HISPANIC,-0.005833024681149896,0.019267357855715463,-0.30274128527797023,0.762087032194437,-0.04359635215559708,0.0319303027932973
RACE_MIXED,0.06271832579906621,0.07739800992223739,0.8103351218213489,0.41774759470960454,-0.08897898612359283,0.21441563772172523
BIOMOMAGE,-0.002812108634351374,0.0013773800206893876,-2.0416359988610084,0.04118765163945946,-0.005511723867927608,-0.00011249340077514004
NUMSIBS,0.0022098736209576926,0.005857762060332849,0.3772556136962865,0.7059836544612779,-0.009271129047299834,0.013690876289215219
FAM_ONE_PARENT,0.04080750071526711,0.01648779564485705,2.4750125240663072,0.013323150369671573,0.008492015066890943,0.07312298636364328
FAM_BIO_STEP,0.020092710648726156,0.020678754624394828,0.9716596097630893,0.3312199167139974,-0.0204369036602288,0.06062232495768111
FAM_OTHER,0.16067343584159485,0.09694119794515485,1.6574319200439112,0.09743218239863963,-0.029327820749076944,0.3506746924322667
PAR_ED_HS,-0.018064982734361665,0.02278127921449662,-0.7929749055911754,0.42779244349328205,-0.06271546951652597,0.026585504047802643
PAR_ED_SOME_COL,-0.005828675017276633,0.023499356610487198,-0.2480355149244995,0.8041069282645352,-0.051886567633694786,0.04022921759914151
PAR_ED_COL,-0.026624990164363434,0.025627251860660224,-1.038932707616411,0.2988360335144281,-0.07685348083399457,0.023603500505267695
POVRATIO97,-0.0025265900068839648,0.0025691399137763877,-0.9834380733161867,0.3253918795612596,-0.007562011709130024,0.002508831695362095
ASVAB_SCORE,-0.0012822446521971072,0.0002696902511322196,-4.754508725524779,1.98929550570376e-06,-0.00181082783139782,-0.0007536614729963942
EARLY_DESTROY,0.10139999519088255,0.012073727241837338,8.398400358053133,4.5260178258469724e-17,0.07773592463772125,0.12506406574404386
EARLY_STEAL_UNDER,0.010436436905081314,0.012445160432156984,0.8385940030242326,0.40169717706542685,-0.013955629323769309,0.03482850313393194
EARLY_STEAL_OVER,0.015130164975286724,0.021143803138431318,0.7155838935988716,0.4742483218028163,-0.026310927672243623,0.056571257622817075
EARLY_OTHER_PROP,0.054706500095755145,0.020777846142051814,2.6329244966847596,0.008465316368415715,0.013982669981019082,0.09543033021049122
EARLY_GANG,0.06690751842054385,0.01095568886525955,6.107102825154825,1.0145588094465812e-09,0.045434762818808636,0.08838027402227906
EARLY_GUN,0.047377301454965395,0.01663738647987313,2.8476408546666563,0.004404459850157567,0.014768623157540427,0.07998597975239036
EARLY_RUNAWAY,0.09066911077450497,0.01808705821060022,5.012927459998267,5.360811074808064e-07,0.055219128095449065,0.12611909345356087
EARLY_SMOKING,0.03203735915494056,0.007317674940521352,4.378079023097197,1.1972994119036207e-05,0.017694979820947428,0.046379738488933696
EARLY_ALCOHOL,0.007984208889138693,0.007286344504181041,1.095777022971835,0.27317636608999385,-0.006296763918007504,0.02226518169628489
EARLY_MARIJUANA,0.01735914390569404,0.011786729544369663,1.4727701895888698,0.14081301307141397,-0.005742421496784701,0.04046070930817278
EARLY_HARD_DRUGS,0.029053787237124193,0.01948724183384247,1.49091325929296,0.1359842697409835,-0.009140504915229324,0.06724807938947772
EVER_ARR_BY17,0.1716738528124714,0.02447824880716948,7.013322487439932,2.3272418484459473e-12,0.1236973667458087,0.21965033887913413
