,Modelo 1_coef,Modelo 1_se,Modelo 1_p,Modelo 2_coef,Modelo 2_se,Modelo 2_p,Modelo 3_coef,Modelo 3_se,Modelo 3_p,Modelo 4_coef,Modelo 4_se,Modelo 4_p,Modelo 5_coef,Modelo 5_se,Modelo 5_p,Modelo 6_coef,Modelo 6_se,Modelo 6_p
const,0.5399849200344419,0.0424648170097597,4.815700018585523e-37,0.47903442559561604,0.05029859468186188,1.669382532622721e-21,0.5401639837848583,0.050573539865510976,1.2523829571129221e-26,0.3323645968110983,0.04727066568654044,2.049171844056722e-12,0.26847283378095904,0.04674571087703779,9.287022818119791e-09,0.2624459480257345,0.047237010856293414,2.761233914410622e-08
FEMALE,-0.1506261820502336,0.01452619049409582,3.4208130839643354e-25,-0.15205217516900435,0.014423041979731458,5.512807145703893e-26,-0.1448892485913442,0.014400755247847003,8.197136809352699e-24,-0.08715935214354861,0.013749518629081844,2.3113535652395778e-10,-0.08483744386525975,0.013635577955395547,4.91574088101891e-10,-0.07387742742368433,0.016281514939540772,5.692414567148222e-06
RACE_BLACK,0.13010400902488323,0.01943940139325881,2.189415622628368e-11,0.08159059912781935,0.02054858407030276,7.168612772689368e-05,0.04239291251693209,0.02149454314119435,0.048579482926485514,0.0733202082266155,0.020026484121801982,0.00025107366137653116,0.10579375828384441,0.02005331044088381,1.323039454510935e-07,0.12420913034841657,0.028264652831494368,1.1102595191479144e-05
RACE_HISPANIC,0.03755096602259195,0.019731831143613054,0.05703200612041887,0.001645977678850788,0.021166137485843024,0.9380152512402956,-0.01949464952403777,0.021406796923930015,0.36246627746592963,-0.018191307278326227,0.019516399994019232,0.35128297226644356,-0.005833024681149896,0.019267357855715463,0.762087032194437,0.0025864501045496924,0.027968201171018333,0.9263180766952027
RACE_MIXED,0.07731723431616078,0.08478003457067283,0.36178211227495594,0.07064091297748867,0.08679432261272182,0.41570875052237755,0.08071251942236538,0.08252156584730347,0.32803579970339836,0.06857482920413331,0.08090633181295802,0.3966702605590734,0.06271832579906621,0.07739800992223739,0.41774759470960454,0.062310242944927464,0.07737354464378134,0.42063668399262544
BIOMOMAGE,-0.007729855770404069,0.0014160478266013053,4.794893957717337e-08,-0.004033532288921337,0.0015048744053115654,0.007355366116615935,-0.003534099175931446,0.0015069321883829753,0.019015460507288924,-0.002566145514879043,0.0014064784500661231,0.06807376903679543,-0.002812108634351374,0.0013773800206893876,0.04118765163945946,-0.0027945125007026632,0.0013761147953039355,0.04228276732861855
NUMSIBS,0.0009177502520561214,0.006406364501830564,0.8860879920465999,0.0004889085256009115,0.006617836964778088,0.941107946457656,-0.00053460754600404,0.006561847559841931,0.9350665065707674,-0.000987951266663849,0.006028624148803754,0.8698281790436818,0.0022098736209576926,0.005857762060332849,0.7059836544612779,0.002241967945999416,0.0058484843411819015,0.7014664221740932
FAM_ONE_PARENT,,,,0.10225510619903802,0.01835874248460877,2.5498549064365598e-08,0.09820791894339674,0.018221608593227974,7.059878250006698e-08,0.056425482517757,0.01678301492336722,0.0007736365595720256,0.04080750071526711,0.01648779564485705,0.013323150369671573,0.04040558077195529,0.016496384851638932,0.014311043866929425
FAM_BIO_STEP,,,,0.07976929670166286,0.023284936421696316,0.0006130146854188744,0.06750049713314338,0.023112459477935686,0.0034944306097003924,0.03728324242193545,0.020987319946499626,0.07565628153230979,0.020092710648726156,0.020678754624394828,0.3312199167139974,0.020383522011629646,0.020682795856071114,0.32436365546203005
FAM_OTHER,,,,0.17406191857875697,0.10151258624451895,0.08640333916033742,0.14818845993746085,0.10132513627563627,0.1436030332728826,0.1657679339020929,0.09518963963024482,0.08160484818001876,0.16067343584159485,0.09694119794515485,0.09743218239863963,0.15995730164790556,0.09659387438106748,0.09772633550252453
